Idopont;AdasDb;Nev
360;2;Laci
361;3;Bandi
361;2;Gyuri
363;4;Tomi
367;2;Bandi
367;1;Zsombor
368;1;Peti
368;4;Józsi
368;1;Csabi
370;3;Sanyi
371;1;Zoli
371;2;Józsi
373;1;Jani
377;1;Bandi
380;2;Bandi
380;2;Laci
381;1;Pityu
385;1;Bandi
387;1;Gabi
390;2;Józsi
392;2;Pityu
392;2;Gabi
393;2;Tomi
395;1;Sanyi
395;3;Tibi
396;1;Zsombor
398;3;Józsi
398;1;Tibi
400;1;Jani
402;3;Peti
402;4;Józsi
403;1;Zsombor
406;3;Imi
407;4;Bandi
408;3;Gyuri
409;4;Peti
410;1;Józsi
411;1;Bandi
413;3;Imi
415;2;Peti
418;1;Csabi
421;2;Feri
421;1;Lali
424;3;Feri
425;4;Gabi
426;2;Jani
427;3;Tomi
427;4;Bandi
430;1;Imi
430;1;Zoli
430;3;Csabi
432;3;Bandi
436;1;Gabi
436;1;Feri
439;2;Jani
439;2;Józsi
440;2;Gyuri
440;3;Józsi
442;3;Bandi
443;1;Zoli
444;3;Gabi
445;4;Zoli
447;2;Laci
448;1;Tibi
452;1;Zsolti
453;3;Peti
454;1;Zsombor
456;4;Zsombor
457;3;Pityu
457;1;Zoli
458;4;Zsolti
458;2;Laci
459;4;Pityu
459;2;Gyuri
460;1;Bandi
460;3;Laci
463;4;Gabi
465;4;Gyuri
467;1;Józsi
468;1;Feri
468;1;Bandi
469;1;Tomi
470;2;Peti
470;1;Csabi
470;3;Gyuri
472;4;Zsolti
473;1;Sanyi
475;4;Jani
476;2;Peti
476;2;Tomi
476;4;Tibi
478;1;Sanyi
478;3;Tomi
484;3;Sanyi
484;4;Jani
484;4;Zsombor
484;3;Lali
486;2;Gyuszi
486;1;Gyuszi
486;1;Tibi
489;4;Bandi
489;2;Pityu
489;3;Sanyi
489;1;Gabi
490;3;Csabi
490;2;Lali
492;3;Pityu
492;1;Tomi
493;3;Imi
493;2;Sanyi
493;2;Bandi
494;2;Lali
496;1;Tomi
499;3;Józsi
500;1;Sanyi
502;1;Csabi
503;1;Feri
503;2;Jani
505;2;Gyuri
505;1;Imi
507;1;Imi
507;4;Pityu
507;4;Sanyi
508;2;Feri
508;4;Tomi
508;2;Jani
511;3;Zsombor
512;2;Lali
513;1;Sanyi
